,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Blooming,PDSI_Podding,PDSI_Dropping leaves,PDSI_Harvest,PIC
7909,2016,iowa_tama,4.2672,0.6259383856700454,0.1095877120086812,-0.616204577438661,-0.4447349232225494,1.2733716057317652,1.7962433126640809,0.0190036620243376
7951,2016,iowa_webster,3.92448,2.493366339279352,2.491332895981228,1.6398968419668902,1.6269541235073213,2.494385017128325,3.1502157055354143,0.0190036620243376
7993,2016,iowa_benton,4.10592,0.7485505168216743,0.3552850532577823,0.1330508579953838,0.5095814405489212,2.081426288897229,2.621899311149243,0.0190036620243376
8035,2016,iowa_cedar,4.0656,1.718570602646477,1.6562271471233485,1.5661778854061066,1.7629226538499134,3.0435813058099592,3.0734091797459846,0.0143970730600886
8076,2016,iowa_clinton,4.01856,2.5834718581385485,2.54550272227691,2.4967422152600824,2.7057750855637503,3.856119934368503,3.918762274450153,0.0012906514090296
8118,2016,iowa_iowa,3.85728,1.5201060094699326,1.3729060250520706,0.362343768455896,0.5041959745098789,1.9763963881601776,2.2291642389527286,0.0190036620243376
8159,2016,iowa_jackson,4.10592,2.0161110957463584,1.87583335240682,1.788333336512248,2.0027778148651123,2.7058333555857343,2.4499999947018094,0.0190036620243376
8199,2016,iowa_johnson,3.76992,0.9693912141576284,0.87516516743626,0.7956060613890733,1.0656906911897013,2.003675947188029,1.9052515971084587,0.0168996853588043
8240,2016,iowa_jones,4.058879999999999,1.4838105697155923,1.364571218313866,1.4934217701990935,1.7162766634205056,2.345833963432977,2.3470263998637826,0.0190036620243376
8282,2016,iowa_linn,4.032,1.2878713418611645,1.098780305971022,1.0477383314491142,1.2035199963843148,1.9683077612920163,2.3615046710762724,0.0190036620243376
8322,2016,iowa_muscatine,4.08576,1.1300067886888143,0.9720684276948344,0.4787316648350234,0.7485884819897732,2.007549866257352,1.8890411197394947,0.0565598734690142
8364,2016,iowa_scott,4.32768,2.4531943049621243,2.381606543955623,2.240860382426582,2.4058327851588954,3.711929163342671,3.719467217207428,0.0055686093416817
8406,2016,iowa_butler,4.02528,1.2935504537082947,1.09604734038153,1.4430617444979317,1.5492810765129823,2.598056262909036,3.8333574563043,0.0003597319215158
8448,2016,iowa_cerro gordo,3.93792,0.6171170229855473,0.2318775557046383,0.977783179100627,1.2841022596047909,2.98018680886578,4.4598793363213245,0.0150280053281493
8490,2016,iowa_floyd,3.864,0.6175668771799816,0.00227471145609,1.0545752257189818,1.407360829110102,3.6700493088241233,5.235886120252361,0.0098801803582014
8531,2016,iowa_franklin,4.0656,1.4959336729593504,1.3616795057154611,1.3020704914644776,1.403417781206888,2.499726483737845,3.7367511143359953,0.0190036620243376
8573,2016,iowa_hancock,4.19328,0.9038752743377484,0.8022854804992677,0.3151924755752728,0.555132259700888,1.982356421139933,3.17926451401044,0.0037569808766288
8615,2016,iowa_humboldt,4.0992,1.815514119395293,1.7477005900989495,0.8475933678023825,0.8566220935351074,1.7242339958983406,2.829495301537138,0.0180119799403541
8657,2016,iowa_kossuth,4.260479999999999,0.9718072232702254,0.9381820539367168,0.3432936255359767,0.5736436129176079,1.5171078417388133,2.515613885771675,0.0190036620243376
8699,2016,iowa_mitchell,4.0992,0.5723552992752078,0.0047219279861869,0.4692429061418456,0.7430581487142224,2.8306581833643034,3.712463755368912,0.0192990001721498
8741,2016,iowa_winnebago,4.2,0.0502948064139753,-0.5415879576075738,0.1494472428750749,0.6614587215016793,2.281336832229126,3.1625500025812463,0.0190036620243376
8783,2016,iowa_worth,3.91104,-0.1951708871296268,-0.5303033332927136,0.4988255179971624,0.9050564039176376,2.698339815395582,3.5874651128450634,0.0194387628548462
8825,2016,iowa_wright,3.95136,1.7989887275215526,1.871638742391561,1.7059214155024496,1.7964935548439378,2.994432692933729,4.298455696563962,0.0190036620243376
8864,2016,iowa_allamakee,3.81696,-1.2202730492113394,-1.308344706130109,-0.8232594043592815,-0.2518885257707928,3.192329396973697,4.24126286853838,0.0190036620243376
8905,2016,iowa_black hawk,4.152959999999999,1.0469580812620631,0.7405578686508435,1.094386127927676,1.289853837938162,2.119550049304962,2.4744877538614123,0.0175743476020352
8947,2016,iowa_bremer,4.17312,1.0258168137927608,0.7933831898177544,0.795959097037955,0.8292320905399047,1.7293130834700494,2.8467270089843413,0.0190036620243376
8988,2016,iowa_buchanan,4.04544,-0.2436036738918744,-0.7371656610288941,-0.4595657303845759,-0.2774561463067989,0.2311583303977398,1.3567702000704107,0.0190036620243376
9030,2016,iowa_chickasaw,3.7632,-0.9646047719236516,-1.1820095804533752,-0.4921243981553247,0.0999113489629847,3.0022275435373693,4.207022754926385,0.0190036620243376
9069,2016,iowa_clayton,4.24704,-1.2439801004988635,-1.390410446408969,-1.0716417836609171,-0.7347512424585236,2.0704104366587166,2.876766122988801,0.0190036620243376
9148,2016,iowa_fayette,4.186559999999999,-0.6549351853986809,-0.8102981220519576,-0.470315403468564,-0.3355123493430114,1.059700789505873,2.2709829356136955,0.0035106483917435
9190,2016,iowa_howard,3.79008,-1.0091011306606077,-1.2166297136677358,-0.555219671700664,0.0561561999268403,2.9968567136441315,3.9692552612416407,0.0190036620243376
9232,2016,iowa_winneshiek,3.92448,-0.7223769059340429,-0.838885825690268,-0.4789530301944105,0.1049193514897853,3.8695140073173926,4.985880044603591,0.0190036620243376
9274,2016,iowa_buena vista,4.04544,2.785045256346663,2.854454595461918,2.002404718736221,1.9942857349841343,2.4598602772459373,3.2400537013023296,0.0126957788359102
9315,2016,iowa_cherokee,4.67712,3.7279380199377896,4.007729271651824,3.2482545292128653,3.1885871346329133,3.453105656473717,3.843048707219386,0.0190036620243376
9356,2016,iowa_clay,4.15968,2.762368954693866,2.9474912850261568,2.7507917804323974,2.771910152764777,2.816225173832482,3.3899253224949675,0.001383359719639
9398,2016,iowa_dickinson,3.76992,1.922495308216097,2.1725070009412737,2.3144383811979967,2.378480150063051,2.259001824396792,2.7627410105171,0.0025304567865807
9440,2016,iowa_emmet,3.9312,1.5298188414434526,1.6994418096951844,1.2894856014089138,1.378971630051168,1.400513973871093,1.936456899922862,0.0023788216903227
9481,2016,iowa_lyon,4.44192,2.2511060601416784,2.473897814973129,2.09382863510416,1.9782404288766584,1.4827583652395513,2.36232371252772,0.0033557592303692
9523,2016,iowa_osceola,3.76992,2.322220199432707,2.603295036833825,2.566379557751756,2.6228499706716986,2.766227824804135,3.4912029202527752,0.0043437463758184
9564,2016,iowa_palo alto,4.01184,1.727983050711168,1.7611926030917244,1.166847552601757,1.2001694000027872,1.457754914741047,2.4052393653614272,0.0118478835867767
9605,2016,iowa_plymouth,4.44192,3.480330272163108,3.857035748750631,3.5263456994620643,3.4023158924939216,3.35467151426207,3.4733824757632203,0.0045532921024645
9644,2016,iowa_pocahontas,4.07232,2.6758592314134115,2.654195443983132,1.770437312525594,1.854999343205345,2.567904224180472,3.3644340220306668,0.0017620519379018
9685,2016,iowa_sioux,4.42176,2.590287619350254,2.884193921942699,2.587326167031897,2.4734964014427376,2.7122046527828405,3.155515122015322,0.0111725984465707
9726,2016,iowa_appanoose,3.75648,2.9261354600743648,2.664534271109387,1.5200888317514114,1.4471090669262905,1.389234812184185,0.7907141704253178,0.0190036620243376
9767,2016,iowa_clarke,3.35328,2.92953631818615,2.792348791514674,2.0504989938870555,2.0830779384461144,1.9671749137341976,2.0748303189312898,0.0190036620243376
9807,2016,iowa_decatur,3.84384,3.0100072319888,2.7904471110641578,1.7929845546902083,1.7890598571749383,1.5313413949396026,1.3688112458197537,0.0190036620243376
9846,2016,iowa_lucas,3.65568,2.806310392561413,2.572297362087949,1.4836491050449672,1.437353929850106,1.0333054733614548,0.5411735985054433,0.0190036620243376
9887,2016,iowa_madison,3.83712,4.047670268102189,3.974743316432898,2.962290187575757,3.00353099390112,2.992868507142715,3.15544957270612,0.0190036620243376
9929,2016,iowa_marion,3.80352,2.758595875924033,2.535603068306251,1.698098797025127,1.7717816570613705,2.0316186728614825,2.016180604490617,0.0241193380943575
9969,2016,iowa_monroe,3.85056,2.39184656016843,2.1726913629967983,1.1024582985962847,1.063099442898623,1.2126742034594842,0.4388452812878181,0.0190036620243376
10011,2016,iowa_ringgold,3.47424,3.672523328297848,3.605475369129429,2.7900014145101046,2.9082560596548084,3.555679125487929,3.505382314932547,0.0190036620243376
10052,2016,iowa_union,3.7632,4.518921902807746,4.44598657310187,3.505015484724099,3.613906940694852,4.313297323083861,4.274197353305431,0.0190036620243376
10094,2016,iowa_warren,3.64896,3.038388869914684,2.854331576554655,2.2846185433144264,2.3937015742926504,2.8124871070022763,3.00818063846171,0.0190036620243376
10135,2016,iowa_wayne,3.64224,3.0635426601380016,2.77820202532788,1.6684858133761569,1.5895898705247122,1.0326752399916064,0.2347176289631622,0.0190036620243376
10176,2016,iowa_davis,3.85728,2.2726551836673097,2.134828686889554,1.1885519157909823,1.185555559497797,1.820597923318094,1.4565741917625,0.0005516176186667
10218,2016,iowa_des moines,4.058879999999999,0.7651190509785183,0.3612376271260973,-0.9798815372474196,-0.5464026366273985,1.5322277319355428,1.2241619411910385,0.0080820893095261
10259,2016,iowa_henry,3.84384,0.1436998928471796,-0.5625527509009045,-1.4954465234670105,-1.3212273519392876,1.272114887161751,0.8273853530113177,0.0190036620243376
10301,2016,iowa_jefferson,3.70272,0.5178047015770094,0.1402395033256243,-1.1379624667058466,-0.8552964302760956,1.4569723338798712,0.9755655228048944,0.0190036620243376
10343,2016,iowa_keokuk,3.83712,1.3601848804981518,1.2567990947832433,0.0879146606225111,0.3002590156942184,1.9696820852236363,1.5737040154649662,0.0190036620243376
10384,2016,iowa_lee,4.12608,0.600190510582622,-7.028379648750527e-05,-1.4292220128035524,-1.2779950485571,0.8508997535618448,0.4528308091983437,0.0190036620243376
10426,2016,iowa_louisa,3.79008,-0.3132865445627926,-0.5680355486534773,-0.6848596192675828,-0.2113065765273497,1.7161809568511373,1.461894519039748,0.0582965717641036
10467,2016,iowa_mahaska,3.97152,2.3063397014065035,2.0890926913781604,1.1654338119322796,1.2157571776441791,1.3720621923795728,0.9767563799149588,0.0190036620243376
10508,2016,iowa_van buren,3.80352,1.1161612945743336,0.7256910375121176,-0.92870979052134,-0.9450255192591864,0.9028120329104375,0.3227092970301449,0.0190036620243376
10550,2016,iowa_wapello,3.90432,1.0813122848345202,1.01278658850521,-0.4490274259542899,-0.2661039509024265,1.1407404114719215,0.5166007130160315,0.0190036620243376
10592,2016,iowa_washington,3.74976,1.0598814420459808,0.9627958272031274,-0.1127831043471978,0.0749065228155372,1.64054833775207,1.2301360407462256,0.0186229960217101
10633,2016,iowa_adair,3.98496,3.977268114744061,3.9695632234400415,2.918740405081501,2.9407427441115472,3.410535061546571,3.62337035335926,0.0176471153466008
10674,2016,iowa_adams,3.7968,4.433267196455602,4.454878068035692,3.7532116323143385,3.953453643187468,4.807388171861826,4.734890990306242,0.0190036620243376
10713,2016,iowa_cass,4.00512,3.343393992784081,3.513232731120352,2.924331615772401,3.0462120580552985,3.6875992535492834,3.9970243395044833,0.0190036620243376
10755,2016,iowa_fremont,3.7296,4.623775018694573,4.828549114403737,4.50647422249122,4.648966394947517,5.417064678184181,5.572872543164483,0.0614987874440687
10795,2016,iowa_mills,3.78336,4.795608846099405,4.805662065617582,4.357694219528362,4.679742784950166,5.120093703074854,5.310592183921096,0.0105240766242344
10834,2016,iowa_montgomery,3.88416,3.7645417913194783,3.84436947807316,3.611888205984593,4.0491716678830665,5.028394747863,5.125919165363581,0.0190036620243376
10876,2016,iowa_page,3.864,4.73816775130766,4.813104687628375,4.564519524874858,4.828717421301742,5.777489028351308,5.7697755729223,0.0003313131313131
10918,2016,iowa_pottawattamie,4.07232,3.2153947221618826,3.356052257959954,2.667905781355948,2.82033139692812,3.792123400989933,4.4007705110772966,0.0028543074988209
10958,2016,iowa_taylor,3.46752,4.321564749429052,4.325004567908144,3.662800370705995,3.852698076438173,4.554534501755375,4.36406094035883,0.0214689082818228
