,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Blooming,EVI_Podding,PDSI_Podding,PDSI_Dropping leaves,PDSI_Harvest,PIC
21624,2012,nebraska_thayer,3.48768,-2.1536180519239068,-2.423080453698727,-3.4295987101071894,0.568995432138422,-3.789361599586552,-4.800599413641191,-5.00497960686172,0.5241599475695086
21716,2012,nebraska_frontier,2.7081599999999995,-1.625,-1.852499961853028,-3.5799999237060547,0.6367607393996064,-4.077500104904175,-5.054999987284343,-5.315000057220459,0.5241599475695086
21899,2012,north dakota_eddy,2.4528,-1.926666839054991,-2.1337279927536903,-2.5902228281170885,0.4633357864214347,-2.9335395677371583,-3.4321903102234383,-3.745718672925385,0.0476323656011789
21936,2012,north dakota_foster,2.49312,-0.5714935854090641,-0.937396113257526,-2.048628506342602,0.5232506391433479,-2.566895722300969,-3.276919277939742,-3.689012964222651,0.0476323656011789
22026,2012,north dakota_stutsman,2.3184,-1.3993463851290997,-1.5038416487682356,-2.5185304881135795,0.5259039531946983,-2.854776704433528,-3.65302160708153,-4.13887531400956,0.0476323656011789
22067,2012,north dakota_wells,2.49984,0.6057460785746813,0.2934269784416052,-1.2404232646046658,0.5367688511744164,-1.9124033942933631,-2.651941549161327,-2.9703883976689687,0.0476323656011789
22106,2012,north dakota_barnes,2.23104,-2.2788641253076483,-2.4583096022244746,-3.137299736980947,0.5264590270545818,-3.437245396457091,-4.2064407307674765,-4.81317548094237,0.0476323656011789
22148,2012,north dakota_cass,2.2848,-2.748754374556176,-3.0777227832913865,-3.7627009662820816,0.578082832848385,-4.102091865531949,-4.605303359311852,-5.222820737650194,0.0476323656011789
22190,2012,north dakota_griggs,2.25792,-2.3263370993052384,-2.5586700078276463,-3.203366036595039,0.5165707316344144,-3.4764343759748666,-4.267163118306446,-4.792891172712952,0.0476323656011789
22232,2012,north dakota_steele,2.27136,-2.4650311234588687,-2.8858115337414763,-3.570128908662057,0.5723467526323431,-3.874924494598714,-4.677020061999135,-5.185764474160676,0.0476323656011789
