,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Silking,PDSI_Dough,PDSI_Dent,PDSI_Maturity,PDSI_Harvest,PIC
4394,2016,indiana_johnson,10.091489030800002,1.7390499435340934,1.7539703155767643,1.4769089229639525,1.678423352164718,2.1360599883237783,2.7463983973536075,3.007019103824596,0.0225165562913907
4435,2016,indiana_madison,11.3584130732,0.780537843995977,0.720658719907674,-0.0768560333233972,-0.3167289869793868,-0.323820146282521,0.3531698502011611,1.1553525375220242,0.0989850689400095
4510,2016,indiana_morgan,10.411355992,0.7097443392113223,0.8193524817548786,0.7114438879131455,0.8344725761207692,1.284893827594745,1.9511134292358463,2.4017733458525323,0.1098193947642755
4551,2016,indiana_rush,11.841349465600002,1.4043737330425063,1.306472857889439,1.3365862667794954,1.2956267503209544,1.670632294950576,2.415304217512358,2.7652796171874985,0.0989850689400095
4593,2016,indiana_shelby,10.34863698,1.6332947856398954,1.645035874835477,1.2874560566450284,1.3013875987817225,1.663807218269928,2.4226289652024047,2.7621825408329213,0.0336491714421664
4635,2016,indiana_tipton,12.449723882,-0.1642088222788365,-0.0110341828943763,-0.4128867434757409,-0.5428407008601671,-0.5145528330260752,-0.1534858436408816,0.0798233260059066,0.0092963981487692
4677,2016,indiana_blackford,10.9068361868,1.7569305735967846,1.5981999113861278,-0.4754471335957643,-1.1400741145937496,-1.416302702251002,-0.873647868790331,0.4832180521263199,0.0989850689400095
4718,2016,indiana_fayette,10.8629328784,1.477164765035138,1.3767498544193029,1.3335152360943168,1.2105548355231472,1.5023378635506115,2.137260310692231,2.3103003447262904,0.0989850689400095
4759,2016,indiana_henry,11.1388965312,0.949243150612072,0.8620486936683975,0.325115929439159,0.063109891733652,0.1805578249742503,0.6132748676915973,0.5796740343777816,0.0813707587517944
4799,2016,indiana_jay,10.4928907076,1.7803065552812438,1.6285937220765454,0.3591685973832032,-0.5766063894899394,-1.1283956545739038,-0.3258154307654374,0.7878859568273474,0.0695778258712186
4840,2016,indiana_randolph,10.3988121896,1.695765274398089,1.5350817886362744,0.1940575162715634,-0.2969537427493826,-0.3678917920981034,0.4962360600012083,0.7526346773721512,0.048519381036695
4882,2016,indiana_union,11.1075370252,0.9914762975631632,0.8583903704017075,-0.5054697139712316,-0.6592807442808498,-0.4312006543349444,0.6794507266818023,1.0589008783875278,0.0989850689400095
4924,2016,indiana_wayne,10.4866188064,1.4540630591934884,1.3029002567441366,-0.2248371836021476,-0.6470721479837698,-0.7529211423644128,-0.1530192437207493,0.0528689137248222,0.0073412584467543
4966,2016,indiana_carroll,12.405820573600002,1.546596837626832,1.4120105172101225,0.5020123426424157,0.3400706164860005,0.0337541378851629,0.3206536103188395,0.4914913285348474,0.0126444924715947
5007,2016,indiana_cass,11.8915246752,0.975337023649961,0.8984184595414736,-0.9814681362273504,-1.1182291359185026,-1.1339405367940916,-0.5005715162571495,0.0489079530033816,0.0052872949086132
5046,2016,indiana_elkhart,9.9535072044,-1.1502610679486245,-1.031573904827222,-1.5003216621487716,-1.721446237736581,-1.6224197040453372,-0.9274880394061632,-0.4937806724015761,0.2583334870593444
5088,2016,indiana_fulton,11.0824494204,-0.2537529331123294,-0.2259772116416862,-0.8511892850932247,-0.8509642869984212,-0.8577190450141142,-0.2983588427500355,0.3233605415626193,0.1809081227611579
5130,2016,indiana_kosciusko,10.336093177600002,-0.4408339793976782,-0.3276636855442256,-0.7692739192675232,-0.967161966876407,-1.0764060991222344,-0.6920076769560759,-0.1604612589940355,0.1826087816847062
5172,2016,indiana_marshall,10.599513028,0.8844680187967927,0.9472999112585226,-0.1253812799999157,-0.3097136580744068,0.017682729654518,0.9893652149753084,1.4852762953596923,0.126559070045899
